#,Company,Symbol,Weight,      Price,Chg,% Chg
443,Jack Henry & Associates Inc,JKHY,0.031174,   149.60,0.71,-0.48%
444,Celanese Corp,CE,0.030892,   106.84,-1.34,(-1.24%)
445,Wynn Resorts Ltd,WYNN,0.03063,   101.95,0.07,-0.07%
446,Campbell Soup Co,CPB,0.030074,   51.57,-0.3,(-0.57%)
447,Marketaxess Holdings Inc,MKTX,0.030007,   276.24,-2.25,(-0.81%)
448,Henry Schein Inc,HSIC,0.02995,   75.59,-1.26,(-1.64%)
449,Charles River Laboratories,CRL,0.029621,   200.48,-1.82,(-0.90%)
450,Tapestry Inc,TPR,0.02903,   41.09,-0.86,(-2.04%)
451,Eastman Chemical Co,EMN,0.028438,   82.04,-0.44,(-0.53%)
452,Keycorp,KEY,0.028101,   10.18,-0.28,(-2.68%)
453,Gen Digital Inc,GEN,0.027975,   16.98,0.02,-0.12%
454,Match Group Inc,MTCH,0.027906,   33.74,-0.94,(-2.71%)
455,Globe Life Inc,GL,0.02786,   105.87,-1.58,(-1.47%)
